Index,smiles,expt.(A^3)
0,C[C@@H]1CCCOC1,11.71
1,C1[C@@H](O1)CCl,8.19
2,C[C@@H]1COC(=O)O1,8.55
3,C(C(F)(F)F)(C(F)(F)F)O,7.20
4,CC(Cl)(Cl)Cl,10.44
5,C(C(Cl)(Cl)Cl)(F)(F)F,10.47
6,C(C(Cl)Cl)(Cl)Cl,12.21
7,C(C(F)(Cl)Cl)(F)(F)Cl,10.43
8,C(C(Cl)Cl)Cl,10.33
9,CCN(CC)C(=O)N(CC)CC,20.17
10,CN(C)C(=O)N(C)C,12.86
11,C=C(Cl)Cl,8.36
12,CC(Cl)Cl,8.38
13,C(CCCCCCl)CCCCCl,23.04
14,c1ccc2c(c1)CCCC2,17.05
15,Cc1ccc(c(c1C)C)C,17.81
16,C(C(CO)O)O,8.14
17,C(C(CCl)Cl)Cl,12.09
18,c1cc(c(cc1Cl)Cl)Cl,16.32
19,CC[C@@H](CO)O,9.32
20,C(CN)N,7.21
21,C(CBr)Br,10.75
22,C[C@H](CBr)Br,12.54
23,[C@@](C(F)(F)F)(C(F)(F)Cl)(F)Cl,10.52
24,c1ccc(c(c1)Cl)Cl,14.30
25,C(CCl)Cl,8.43
26,c1ccc(c(c1)F)F,10.42
27,COc1ccccc1OC,15.69
28,COCCOC,9.60
29,C(CO)O,5.72
30,c1c(cc(cc1F)F)F,10.24
31,C[C@H](CCO)O,9.37
32,c1cc(cc(c1)Br)Br,16.59
33,c1cc(cc(c1)Cl)Cl,14.38
34,C(CCl)CCl,10.17
35,CN1CCCN(C1=O)C,13.80
36,CN1CCN(C1=O)C,12.14
37,C1COCO1,6.79
38,C(CO)CO,7.55
39,C(CCO)CO,9.35
40,C1C=CCC=C1,10.48
41,C(CCCl)CCl,12.02
42,c1cc(ccc1F)F,10.27
43,C1COCCO1,8.63
44,C(CCO)CCO,11.20
45,CC1(C2CCC(O1)(CC2)C)C,18.10
46,CCCCBr,11.26
47,CCCCO,8.79
48,c1ccc2c(c1)cccc2Cl,19.37
49,CCCCCCCCCCO,19.83
50,CCCCCCCO,14.30
51,CCCCCCO,12.46
52,CCCCC=C,11.79
53,CCCCC#C,11.09
54,c1ccc2c(c1)cccc2I,22.49
55,CCCI,11.50
56,CN1CCCC1=O,10.66
57,Cn1ccnc1,9.24
58,C[NH+]1CCCCC1,12.62
59,Cc1cccc2c1cccc2,19.42
60,CCCN(=O)=O,8.60
61,CCCCCCCCO,16.14
62,CCCCCO,10.61
63,C[C@H](c1ccccc1)O,14.62
64,CCCO,6.96
65,C(C(Cl)(Cl)Cl)O,11.00
66,C(C(F)(F)F)O,5.20
67,C(C(C(F)F)(F)F)O,7.08
68,CC(C)(C)C(=O)C(C)(C)C,17.37
69,CC1(CCC(O1)(C)C)C,15.40
70,Cc1c(c(c(c(c1F)F)F)F)F,12.24
71,C[C@H]([C@H](C)O)O,9.33
72,Cc1cc(nc(c1)C)C,15.48
73,CC(C)C(=O)C(C)C,13.70
74,Cc1ccnc(c1)C,13.40
75,CC(=O)CC(=O)C,10.99
76,Cc1cc(ccc1Br)Br,18.72
77,CC(C)(C)c1cccc(n1)C(C)(C)C,24.98
78,c1cc(nc(c1)F)F,9.43
79,CC(C)CC(=O)CC(C)C,17.50
80,Cc1cccc(n1)C,13.54
81,c1cc(oc1)CO,9.84
82,CCCCOCCO,13.10
83,CC(C)(C)c1ccccc1O,18.60
84,CCOCCO,9.48
85,CC[C@@H](CO)N,10.09
86,C(CO)N,6.48
87,c1ccnc(c1)Br,12.78
88,CC[C@@H](C)O,8.77
89,CCC(=O)C,8.25
90,c1ccc(c(c1)N)Cl,14.05
91,C(CCl)O,7.03
92,c1ccnc(c1)Cl,11.60
93,C(CO)C#N,6.92
94,CCc1ccccc1O,14.60
95,CCCCC(=O)C,11.95
96,CC(C)I,11.67
97,CC(C)c1ccccc1O,16.40
98,COCCO,7.62
99,COc1ccccc1O,13.60
100,CC(C)CO,8.81
101,CCC(C)(C)O,10.64
102,CC(C)(C)N(=O)=O,10.30
103,CCC(C)C,10.13
104,CC(C)N(=O)=O,8.59
105,CCC[C@@H](C)O,10.57
106,CCCC(=O)C,10.11
107,Cc1ccccn1,11.57
108,C=CCO,6.71
109,C=CC#N,6.24
110,C#CCO,5.98
111,CC(=O)C(C)(C)C,11.85
112,Cc1ccncc1C,13.34
113,c1cc(cnc1)Br,12.76
114,C(CCl)C(F)(F)F,8.23
115,c1cc(cc(c1)Cl)O,13.60
116,C#CCCl,7.52
117,CCC(CC)(CC)O,14.44
118,CCCCC(=O)CC,13.70
119,COCCC#N,8.79
120,CC(C)CCO,10.61
121,CC(C)C(=O)C,10.02
122,CN1CCOC1=O,9.29
123,CCC(=O)CC,10.03
124,Cc1cccnc1,11.50
125,Cc1ccc(cc1)O,13.20
126,CC(=O)C1(COCOC1)C,14.26
127,Cc1ccc(cc1O)C(C)C,18.60
128,CCCCC(=O)CCCC,17.44
129,CCN(CC)S(=O)(=O)N(CC)CC,21.32
130,CN(C)C(=N)N(C)C,13.85
131,CCN(CC)C=O,11.56
132,CC(=O)N(C)C,9.69
